,precision,recall,f1-score,support
cancel_order,1.0,0.96,0.9795918367346939,200.0
change_order,0.919431279620853,0.9748743718592965,0.9463414634146341,199.0
change_shipping_address,0.9847715736040609,0.9948717948717949,0.9897959183673469,195.0
check_cancellation_fee,1.0,1.0,1.0,190.0
check_invoice,0.8333333333333334,0.85,0.8415841584158416,200.0
check_payment_methods,1.0,1.0,1.0,200.0
check_refund_policy,1.0,0.9949748743718593,0.9974811083123426,199.0
complaint,1.0,1.0,1.0,200.0
contact_customer_service,1.0,0.99,0.9949748743718593,200.0
contact_human_agent,0.9850746268656716,0.99,0.9875311720698254,200.0
create_account,0.9896373056994818,0.9597989949748744,0.9744897959183674,199.0
delete_account,0.9292452830188679,0.9899497487437185,0.9586374695863747,199.0
delivery_options,1.0,1.0,1.0,199.0
delivery_period,1.0,0.995,0.9974937343358395,200.0
edit_account,0.9803921568627451,1.0,0.9900990099009901,200.0
get_invoice,0.8375634517766497,0.825,0.8312342569269522,200.0
get_refund,0.995,1.0,0.9974937343358395,199.0
newsletter_subscription,1.0,0.995,0.9974937343358395,200.0
payment_issue,1.0,0.99,0.9949748743718593,200.0
place_order,0.995,0.995,0.995,200.0
recover_password,0.995,1.0,0.9974937343358395,199.0
registration_problems,0.9850746268656716,0.99,0.9875311720698254,200.0
review,1.0,1.0,1.0,199.0
set_up_shipping_address,1.0,0.9899497487437185,0.9949494949494949,199.0
switch_account,0.9846938775510204,0.965,0.9747474747474747,200.0
track_order,1.0,0.949748743718593,0.9742268041237113,199.0
track_refund,0.9950248756218906,1.0,0.9975062344139651,200.0
accuracy,0.9776744186046512,0.9776744186046512,0.9776744186046512,0.9776744186046512
macro avg,0.978120088548898,0.9777469732327354,0.9778026687421821,5375.0
weighted avg,0.9780644291028259,0.9776744186046512,0.9777384777694828,5375.0
