,precision,recall,f1-score,support
cancel_order,1.0,0.985,0.9924433249370277,200.0
change_order,0.9512195121951219,0.9798994974874372,0.9653465346534653,199.0
change_shipping_address,0.9897959183673469,0.9948717948717949,0.9923273657289002,195.0
check_cancellation_fee,1.0,0.9947368421052631,0.9973614775725593,190.0
check_invoice,0.8423645320197044,0.855,0.8486352357320099,200.0
check_payment_methods,1.0,1.0,1.0,200.0
check_refund_policy,0.9948979591836735,0.9798994974874372,0.9873417721518988,199.0
complaint,1.0,1.0,1.0,200.0
contact_customer_service,1.0,0.985,0.9924433249370277,200.0
contact_human_agent,0.9850746268656716,0.99,0.9875311720698254,200.0
create_account,0.9611650485436893,0.9949748743718593,0.9777777777777777,199.0
delete_account,0.995,1.0,0.9974937343358395,199.0
delivery_options,0.995,1.0,0.9974937343358395,199.0
delivery_period,1.0,0.995,0.9974937343358395,200.0
edit_account,0.975609756097561,1.0,0.9876543209876543,200.0
get_invoice,0.8434343434343434,0.835,0.8391959798994975,200.0
get_refund,0.9801980198019802,0.9949748743718593,0.9875311720698254,199.0
newsletter_subscription,1.0,0.995,0.9974937343358395,200.0
payment_issue,0.995,0.995,0.995,200.0
place_order,1.0,1.0,1.0,200.0
recover_password,1.0,1.0,1.0,199.0
registration_problems,0.99,0.99,0.99,200.0
review,1.0,1.0,1.0,199.0
set_up_shipping_address,1.0,0.9899497487437185,0.9949494949494949,199.0
switch_account,0.9897435897435898,0.965,0.9772151898734177,200.0
track_order,1.0,0.964824120603015,0.9820971867007673,199.0
track_refund,1.0,1.0,1.0,200.0
accuracy,0.9808372093023255,0.9808372093023255,0.9808372093023255,0.9808372093023255
macro avg,0.9810556780093586,0.98089375000157,0.9809194913846114,5375.0
weighted avg,0.980999851370972,0.9808372093023255,0.9808632503191735,5375.0
